"Date","Location","Category","SubCategory","kasus","sembuh","perawatan","meninggal"
"2022-04-05","Nasional","kondisi_penyerta","HIPERTENSI",49.78236337256166,40.544897630178944,0.016121231662098983,9.398678059003709
"2022-04-05","Nasional","kondisi_penyerta","DIABETES MELITUS",36.5307109463163,27.115911655650493,0.016121231662098983,9.22134451072062
"2022-04-05","Nasional","kondisi_penyerta","PENYAKIT JANTUNG",16.766080928582944,11.945832661615349,0.016121231662098983,4.820248266967597
"2022-04-05","Nasional","kondisi_penyerta","HAMIL",10.511043043688538,10.317588263743351,0.016121231662098983,2.015153957762373
"2022-04-05","Nasional","kondisi_penyerta","PENYAKIT PARU OBSTRUKTIF KRONIS",4.884733193615992,3.6433983556343703,,1.225213606319523
"2022-04-05","Nasional","kondisi_penyerta","PENYAKIT GINJAL",4.739642108657102,2.7244881508947283,,0.5481218765113655
"2022-04-05","Nasional","kondisi_penyerta","GANGGUAN IMUN",3.079155247460906,2.6116395292600356,,0.4513944865387715
"2022-04-05","Nasional","kondisi_penyerta","KANKER",2.015153957762373,1.4670320812510076,,0.41915202321457357
"2022-04-05","Nasional","kondisi_penyerta","GANGGUAN NAPAS LAIN",1.3864259229405127,0.967273899725939,,0.1934547799451878
"2022-04-05","Nasional","kondisi_penyerta","ASMA",0.7415766564565534,0.6126068031597615,,0.14509108495889086
"2022-04-05","Nasional","kondisi_penyerta","TBC",0.4513944865387715,0.30630340157988073,,0.12896985329679186
"2022-04-05","Nasional","kondisi_penyerta","PENYAKIT HATI",0.43527325487667257,0.30630340157988073,,0.12896985329679186
"2022-04-05","Nasional","gejala","BATUK",65.34851621808143,60.89717046238785,0.07936507936507936,4.382332643202209
"2022-04-05","Nasional","gejala","RIWAYAT DEMAM",44.08212560386474,40.73153899240856,0.05866114561766736,4.371980676328502
"2022-04-05","Nasional","gejala","DEMAM",39.57556935817805,37.61904761904762,0.051759834368530024,3.426501035196687
"2022-04-05","Nasional","gejala","PILEK",39.14423740510697,36.09730848861283,0.03795721187025535,3.3126293995859215
"2022-04-05","Nasional","gejala","LEMAS",24.368530020703933,21.925465838509318,0.031055900621118012,2.971014492753623
"2022-04-05","Nasional","gejala","SAKIT TENGGOROKAN",23.481711525189787,21.756383712905453,0.020703933747412008,1.6080055210489992
"2022-04-05","Nasional","gejala","SAKIT KEPALA",23.395445134575567,21.3768115942029,0.020703933747412008,1.5389924085576259
"2022-04-05","Nasional","gejala","SESAK NAPAS",20.445134575569355,16.045548654244307,0.01725327812284334,1.466528640441684
"2022-04-05","Nasional","gejala","KERAM OTOT",14.120082815734989,13.067632850241544,0.01725327812284334,1.1835748792270533
"2022-04-05","Nasional","gejala","MUAL",10.614216701173223,9.4271911663216,0.006901311249137337,1.0317460317460316
"2022-04-05","Nasional","gejala","SAKIT PERUT",4.824016563146998,4.130434782608695,0.0034506556245686684,0.6901311249137336
"2022-04-05","Nasional","gejala","DIARE",4.558316080055211,4.071773636991028,0.0034506556245686684,0.4796411318150448
"2022-04-05","Nasional","gejala","MENGGIGIL",1.2560386473429952,1.028295376121463,,0.2277432712215321
"2022-04-05","Nasional","gejala","LAIN-LAIN",0.1518288474810214,0.1069703243616287,,0.04485852311939268
"2022-04-05","Nasional","kelompok_umur","0-5",3.0436937730430462,3.097253818668683,3.8961358602018215,0.6014569776786872
"2022-04-05","Nasional","kelompok_umur","6-18",10.408568822205169,10.672349353958008,10.402412010829435,0.5949757602468048
"2022-04-05","Nasional","kelompok_umur","19-30",26.581623511899533,27.172721429144886,29.5040610386414,3.0442278277551655
"2022-04-05","Nasional","kelompok_umur","31-45",28.85734260048772,29.31156599157907,27.48461727787349,12.675965053275606
"2022-04-05","Nasional","kelompok_umur","46-59",20.13754186203958,19.769513658633684,16.80531626876692,35.58901304020947
"2022-04-05","Nasional","kelompok_umur","≥ 60",10.971229430324954,9.976595748015672,11.907457543686931,47.49436134083426
"2022-04-05","Nasional","jenis_kelamin","LAKI-LAKI",47.661354017737864,47.593448145684334,43.52587925475622,52.384951949371036
"2022-04-05","Nasional","jenis_kelamin","PEREMPUAN",52.338645982262136,52.406551854315666,56.47412074524378,47.61504805062896
